Date,Severity_1,Severity_2,Severity_3,Severity_4,Residential_ct,Interstate_ct,Accident_ct,Zipcode
10/13/2018,0,0,1,0,0,1,1,30309
10/14/2018,0,0,0,0,0,0,0,30309
10/15/2018,0,0,1,0,0,1,1,30309
10/16/2018,0,2,3,0,1,4,5,30309
10/17/2018,0,3,1,0,4,0,4,30309
10/18/2018,0,1,1,0,0,2,2,30309
10/19/2018,0,0,0,0,0,0,0,30309
10/20/2018,0,0,1,0,1,0,1,30309
10/21/2018,0,0,1,0,0,1,1,30309
10/22/2018,0,0,1,0,1,0,1,30309
10/23/2018,0,2,0,0,0,2,2,30309
10/24/2018,0,1,2,0,0,3,3,30309
10/25/2018,0,2,0,0,1,1,2,30309
10/26/2018,0,2,1,0,2,1,3,30309
10/27/2018,0,0,0,0,0,0,0,30309
10/28/2018,0,0,2,0,0,2,2,30309
10/29/2018,0,1,1,0,0,2,2,30309
10/30/2018,0,2,4,0,3,3,6,30309
10/31/2018,0,6,3,0,6,3,9,30309
11/01/2018,0,0,1,0,0,1,1,30309
11/02/2018,0,3,1,0,2,2,4,30309
11/03/2018,0,4,2,0,3,3,6,30309
11/04/2018,0,0,1,0,1,0,1,30309
11/05/2018,0,4,1,0,2,3,5,30309
11/06/2018,0,3,4,0,4,3,7,30309
11/07/2018,0,2,0,0,1,1,2,30309
11/08/2018,0,2,4,0,3,3,6,30309
11/09/2018,0,2,0,0,0,2,2,30309
11/10/2018,0,0,0,0,0,0,0,30309
11/11/2018,0,0,0,0,0,0,0,30309
11/12/2018,0,3,2,0,0,5,5,30309
11/13/2018,0,2,6,0,4,4,8,30309
11/14/2018,0,2,3,0,1,4,5,30309
11/15/2018,0,0,1,0,0,1,1,30309
11/16/2018,0,1,1,0,1,1,2,30309
11/17/2018,0,0,3,0,1,2,3,30309
11/18/2018,0,0,4,0,3,1,4,30309
11/19/2018,0,1,0,0,1,0,1,30309
11/20/2018,0,0,1,0,0,1,1,30309
11/21/2018,0,0,1,0,0,1,1,30309
11/22/2018,0,0,0,0,0,0,0,30309
11/23/2018,0,1,0,0,0,1,1,30309
11/24/2018,0,1,1,0,1,1,2,30309
11/25/2018,0,0,4,0,0,4,4,30309
11/26/2018,0,3,0,0,1,2,3,30309
11/27/2018,0,3,0,0,3,0,3,30309
11/28/2018,0,1,0,0,1,0,1,30309
11/29/2018,0,0,0,0,0,0,0,30309
11/30/2018,0,3,2,0,3,2,5,30309
12/01/2018,0,0,3,0,2,1,3,30309
12/02/2018,0,0,0,0,0,0,0,30309
12/03/2018,0,0,0,0,0,0,0,30309
12/04/2018,0,1,1,0,1,1,2,30309
12/05/2018,0,1,0,0,1,0,1,30309
12/06/2018,0,1,0,0,0,1,1,30309
12/07/2018,0,3,2,0,0,5,5,30309
12/08/2018,0,0,1,0,0,1,1,30309
12/09/2018,0,0,3,0,1,2,3,30309
12/10/2018,0,1,0,0,0,1,1,30309
12/11/2018,0,0,1,0,0,1,1,30309
12/12/2018,0,0,1,0,0,1,1,30309
12/13/2018,0,0,0,0,0,0,0,30309
12/14/2018,0,2,4,0,0,6,6,30309
