Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
30338,Atlanta,GA,33.942751,-84.31769,-5,1,33.942751
30339,Atlanta,GA,33.87507,-84.46615,-5,1,33.87507
30340,Atlanta,GA,33.899381,-84.25367,-5,1,33.899381
30341,Atlanta,GA,33.888102,-84.29321,-5,1,33.888102
30342,Atlanta,GA,33.879003,-84.37203,-5,1,33.879003
30343,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30344,Atlanta,GA,33.676258,-84.44977,-5,1,33.676258
30345,Atlanta,GA,33.851736,-84.28412,-5,1,33.851736
30346,Atlanta,GA,33.926753,-84.33877,-5,1,33.926753
30347,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30348,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30349,Atlanta,GA,33.61541,-84.49033,-5,1,33.61541
30350,Atlanta,GA,33.97285,-84.32775,-5,1,33.97285
30351,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30353,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30354,Atlanta,GA,33.658834,-84.39682,-5,1,33.658834
30355,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30356,Atlanta,GA,33.891251,-84.07456,-5,1,33.891251
30357,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30358,Atlanta,GA,33.998151,-84.34112,-5,1,33.998151
30359,Atlanta,GA,33.891251,-84.07456,-5,1,33.891251
30360,Atlanta,GA,33.934536,-84.27215,-5,1,33.934536
30361,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30362,Atlanta,GA,33.891251,-84.07456,-5,1,33.891251
30363,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30364,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30365,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30366,Atlanta,GA,33.891251,-84.07456,-5,1,33.891251
30367,Atlanta,GA,33.789255,-84.387276,-5,1,33.789255
30368,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30369,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30370,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30371,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
