Location,Address,,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions,
,30308, USA,4/8/2018,53.9,37.3,45,30.4,,0,,15.7,31.1,82.4,73.66,Overcast,
,30308, USA,4/9/2018,58.1,46.2,51.2,43.8,,0,,6.7,,86.2,82.67,Overcast,
,30308, USA,4/10/2018,69,48.8,56.9,,,0,,11.7,,41.1,66.13,Partially cloudy,
,30308, USA,4/11/2018,69.7,43.3,56.5,40.8,,0,,12.1,20.8,12.8,47.8,Clear,
,30308, USA,4/12/2018,76.6,45.3,61.4,,,0,,11.2,,14.3,50.7,Clear,
,30308, USA,4/13/2018,79.1,49.3,65.8,,,0,,14.5,29.8,31.4,57.78,Partially cloudy,
,30308, USA,4/14/2018,80,62,71.6,,,0,,14.7,,73.7,65.04,Partially cloudy,
,30308, USA,4/15/2018,73,45.7,59.5,39.9,,1.1,,15.2,33.1,95.8,80.66,"Rain, Overcast",
,30308, USA,4/16/2018,52.3,38.6,43.8,30.6,,0,,19.2,32.2,67.8,65.52,Partially cloudy,
,30308, USA,4/17/2018,75.2,34.5,54.3,30.5,,0,,14.8,31.1,1.2,53.77,Clear,
,30308, USA,4/18/2018,82.8,48.9,66.9,,80.5,0,,18.4,32.9,7.4,50.55,Clear,
,30308, USA,4/19/2018,70.4,50.8,61.8,,,0,,17.4,32.4,10.1,53.11,Clear,
,30308, USA,4/20/2018,68.5,40.1,53.6,37.5,,0,,13.8,29.8,6,46.04,Clear,
,30308, USA,4/21/2018,71.5,41.6,57.9,41,,0,,12.3,,35.6,51.74,Partially cloudy,
,30308, USA,4/22/2018,62.4,58.6,60,,,0.4,,16.3,37.8,97.9,82.01,"Rain, Overcast",
,30308, USA,4/23/2018,66.7,57.5,60.7,,,1.9,,14.3,37.8,99.3,94.73,"Rain, Overcast",
,30308, USA,4/24/2018,67.1,58.6,62,,,0.9,,12,,93.4,86.07,"Rain, Overcast",
,30308, USA,4/25/2018,66.5,54.7,60.1,,,0,,13.3,,64.2,76.94,Partially cloudy,
,30308, USA,4/26/2018,60.5,48.7,55.2,,,0.1,,8.4,,58.4,89.27,"Rain, Partially cloudy",
,30308, USA,4/27/2018,71,52.1,60.4,,,0,,13.6,,35.1,68.53,Partially cloudy,
,30308, USA,4/28/2018,77.1,50.2,64.3,,,0,,13.8,,5.3,54.17,Clear,
,30308, USA,4/29/2018,70.6,49.4,60.8,47.2,,0,,11,,3,39.23,Clear,
,30308, USA,4/30/2018,74.6,43.1,59.6,,,0,,5.7,,1.2,50,Clear,
,30308, USA,5/1/2018,79.5,46.7,64.4,,,0,,8.4,,9.9,60.98,Clear,
,30308, USA,5/2/2018,82.5,53.7,68.7,,81.1,0,,6.5,,10.9,60.78,Clear,
,30308, USA,5/3/2018,82.5,55.4,69.4,,81.3,0,,9.2,,15.7,60.87,Clear,
,30308, USA,5/4/2018,83,54,69.8,,82.6,0,,11.9,,23.6,64.92,Clear,
,30308, USA,5/5/2018,78.5,63.1,71.2,,,0,,9.3,,38.4,70.65,Partially cloudy,
,30308, USA,5/6/2018,79.1,60.7,69.3,,,0,,19.6,33.3,29.5,62.62,Partially cloudy,
,30308, USA,5/7/2018,82.8,60.1,71.7,,80.9,0,,12.8,,14.5,51.5,Clear,
,30308, USA,5/8/2018,79,59,67.3,,,0.1,,9.2,29.8,31.8,70.26,"Rain, Partially cloudy",
,30308, USA,5/9/2018,85.1,59,70.9,,82.9,0,,7.6,,22.8,65.71,Clear,
,30308, USA,5/10/2018,86.8,59.8,72,,86.3,0.1,,17.4,33.5,28,67.93,"Rain, Partially cloudy",
,30308, USA,5/11/2018,87.6,59.5,73.7,,87.7,0,,8.2,,12.6,69.82,Clear,
,30308, USA,5/12/2018,89.2,63.3,77,,87.9,0,,9.2,,11.4,61.04,Clear,
,30308, USA,5/13/2018,90.2,62.4,77,,88.6,0,,10.7,,6.3,58.41,Clear,
,30308, USA,5/14/2018,90.3,65.3,78.5,,90.1,0,,9.4,,26.8,62.16,Partially cloudy,
,30308, USA,5/15/2018,79.6,70,74.5,,,0.1,,9.9,,62,74.8,"Rain, Partially cloudy",
,30308, USA,5/16/2018,75,68.5,71.1,,,2.1,,6.4,,86.2,92.47,"Rain, Overcast",
,30308, USA,5/17/2018,79.7,68.6,72.4,,,0.4,,8.5,,80.6,87.67,"Rain, Overcast",
,30308, USA,5/18/2018,80.6,65.6,72.4,,83,0.1,,11,,59.5,84.1,"Rain, Partially cloudy",
,30308, USA,5/19/2018,85.6,70.1,76.1,,87.7,0,,8,,71,77.25,Partially cloudy,
,30308, USA,5/20/2018,86.9,67.4,74.5,,90,1.2,,9.9,47.2,34.2,82.21,"Rain, Partially cloudy",
,30308, USA,5/21/2018,80.8,64.9,73.4,,82.4,0,,12.1,,51.8,74.33,Partially cloudy,
,30308, USA,5/22/2018,83.5,69.1,73.2,,86.3,0.1,,8.2,31.1,81,82.23,"Rain, Overcast",
,30308, USA,5/23/2018,82.5,68.8,74.1,,85.7,0.7,,7.6,,85.6,84.53,"Rain, Overcast",
,30308, USA,5/24/2018,85,69.7,76.4,,88,0.1,,8,31.5,73.7,77.6,"Rain, Partially cloudy",
,30308, USA,5/25/2018,81.9,70.2,74.9,,84.8,0,,8.2,,81,80.66,Overcast,
